"TIME","GEO","SEX","AGE","ISCED11","UNIT","Value","Flag and Footnotes"
"2005","European Union (28 countries)","Total","From 15 to 74 years","All ISCED 2011 levels ","Percentage","8.9","b"
"2005","European Union (28 countries)","Total","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","11.8","b"
"2005","European Union (28 countries)","Total","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","9.3","b"
"2005","European Union (28 countries)","Total","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","5.0","b"
"2005","European Union (28 countries)","Total","From 15 to 74 years","No response","Percentage","13.7","b"
"2005","European Union (28 countries)","Males","From 15 to 74 years","All ISCED 2011 levels ","Percentage","8.3","b"
"2005","European Union (28 countries)","Males","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","11.0","b"
"2005","European Union (28 countries)","Males","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","8.5","b"
"2005","European Union (28 countries)","Males","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","4.5","b"
"2005","European Union (28 countries)","Males","From 15 to 74 years","No response","Percentage","11.8","b"
"2005","European Union (28 countries)","Females","From 15 to 74 years","All ISCED 2011 levels ","Percentage","9.7","b"
"2005","European Union (28 countries)","Females","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","12.9","b"
"2005","European Union (28 countries)","Females","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","10.2","b"
"2005","European Union (28 countries)","Females","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","5.5","b"
"2005","European Union (28 countries)","Females","From 15 to 74 years","No response","Percentage","16.6","b"
"2005","European Union (27 countries)","Total","From 15 to 74 years","All ISCED 2011 levels ","Percentage","8.9","b"
"2005","European Union (27 countries)","Total","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","11.8","b"
"2005","European Union (27 countries)","Total","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","9.2","b"
"2005","European Union (27 countries)","Total","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","5.0","b"
"2005","European Union (27 countries)","Total","From 15 to 74 years","No response","Percentage","13.7","b"
"2005","European Union (27 countries)","Males","From 15 to 74 years","All ISCED 2011 levels ","Percentage","8.3","b"
"2005","European Union (27 countries)","Males","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","11.0","b"
"2005","European Union (27 countries)","Males","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","8.5","b"
"2005","European Union (27 countries)","Males","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","4.5","b"
"2005","European Union (27 countries)","Males","From 15 to 74 years","No response","Percentage","11.8","b"
"2005","European Union (27 countries)","Females","From 15 to 74 years","All ISCED 2011 levels ","Percentage","9.6","b"
"2005","European Union (27 countries)","Females","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","13.0","b"
"2005","European Union (27 countries)","Females","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","10.1","b"
"2005","European Union (27 countries)","Females","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","5.5","b"
"2005","European Union (27 countries)","Females","From 15 to 74 years","No response","Percentage","16.6","b"
"2005","European Union (15 countries)","Total","From 15 to 74 years","All ISCED 2011 levels ","Percentage","8.1","b"
"2005","European Union (15 countries)","Total","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","11.1","b"
"2005","European Union (15 countries)","Total","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","7.9","b"
"2005","European Union (15 countries)","Total","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","5.0","b"
"2005","European Union (15 countries)","Total","From 15 to 74 years","No response","Percentage","13.8","b"
"2005","European Union (15 countries)","Males","From 15 to 74 years","All ISCED 2011 levels ","Percentage","7.5","b"
"2005","European Union (15 countries)","Males","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","10.1","b"
"2005","European Union (15 countries)","Males","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","7.3","b"
"2005","European Union (15 countries)","Males","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","4.5","b"
"2005","European Union (15 countries)","Males","From 15 to 74 years","No response","Percentage","11.8","b"
"2005","European Union (15 countries)","Females","From 15 to 74 years","All ISCED 2011 levels ","Percentage","8.9","b"
"2005","European Union (15 countries)","Females","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","12.5","b"
"2005","European Union (15 countries)","Females","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","8.7","b"
"2005","European Union (15 countries)","Females","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","5.5","b"
"2005","European Union (15 countries)","Females","From 15 to 74 years","No response","Percentage","16.6","b"
"2005","Euro area (19 countries)","Total","From 15 to 74 years","All ISCED 2011 levels ","Percentage","9.0","b"
"2005","Euro area (19 countries)","Total","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","11.9","b"
"2005","Euro area (19 countries)","Total","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","8.9","b"
"2005","Euro area (19 countries)","Total","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","5.6","b"
"2005","Euro area (19 countries)","Total","From 15 to 74 years","No response","Percentage","7.9","bu"
